DATE,SAHMREALTIME,T10YIE,GEPUCURRENT,NFCI,^MOVE,^SKEW,USD_Log_Ret_1M
2020-05-31,7.27,1.15,415.7433513381408,-0.27,51.54999923706055,131.72000122070312,-0.01135527556903112
2020-06-30,9.5,1.34,309.59230354743727,-0.387,54.130001068115234,148.27000427246094,-0.003984087168533374
2020-07-31,8.0,1.55,313.1465900918374,-0.477,41.97999954223633,138.99000549316406,-0.0274065836258372
2020-08-31,6.37,1.8,289.35592920994884,-0.509,47.02000045776367,145.72999572753906,-0.012444852303186971
2020-09-30,5.3,1.63,309.3344640447869,-0.493,39.209999084472656,123.93000030517578,0.010205301532023418
2020-10-31,4.2,1.7,306.5552708878756,-0.507,61.90999984741211,128.0500030517578,-0.0069555380054623734
2020-11-30,3.63,1.77,397.37945265644953,-0.568,40.84000015258789,132.42999267578125,-0.02537446317781666
2020-12-31,3.23,1.99,302.48026692951555,-0.604,48.97999954223633,143.02999877929688,-0.01700119998776713
2021-01-31,3.03,2.13,271.75653651100254,-0.619,47.40999984741211,145.83999633789062,0.005681080188074319
2021-02-28,2.87,2.15,195.1068145269577,-0.627,75.66000366210938,142.07000732421875,0.007825410059273957
2021-03-31,2.33,2.37,212.04868951840004,-0.649,71.2699966430664,142.1999969482422,0.008760545585254667
2021-04-30,-0.07,2.41,193.92232765436128,-0.682,58.130001068115234,139.3000030517578,-0.015400426458874763
2021-05-31,-0.13,2.42,173.12515293203327,-0.693,52.040000915527344,149.35000610351562,-0.011903668401616994
2021-06-30,-0.03,2.32,170.97337846011976,-0.686,57.27000045776367,161.85000610351562,0.01608285762937381
2021-07-31,-0.23,2.4,189.07865457809663,-0.656,61.189998626708984,153.7100067138672,0.0010487305417588683
2021-08-31,-0.2,2.33,201.28162501514728,-0.647,59.540000915527344,155.91000366210938,0.003863960268335203
2021-09-30,-0.37,2.37,211.94786926470647,-0.654,61.06999969482422,135.5500030517578,0.01345982236904902
2021-10-31,-0.27,2.51,187.23984337845152,-0.622,75.44999694824219,148.08999633789062,-0.004418318263358609
2021-11-30,-0.33,2.5,229.32187991367337,-0.552,84.04000091552734,150.5500030517578,0.0179928619594585
2021-12-31,-0.27,2.56,258.40928353024697,-0.556,77.0999984741211,154.3800048828125,-0.007983969152855897
2022-01-31,-0.2,2.44,221.70366663726656,-0.542,85.13999938964844,131.44000244140625,0.002451820382755713
2022-02-28,-0.13,2.62,175.82258801196468,-0.439,100.4000015258789,137.36000061035156,-0.002977621525775902
2022-03-31,-0.1,2.84,298.1883650247702,-0.374,106.87999725341797,140.72999572753906,-5.207334356814495e-06
2022-04-30,-0.13,2.88,269.5029595473497,-0.337,128.39999389648438,136.69000244140625,0.03640133638414117
2022-05-31,-0.07,2.64,275.87421047554955,-0.26,107.12000274658203,119.0999984741211,-0.011979246120084672
2022-06-30,0.0,2.33,248.01935491968652,-0.173,135.5,119.94000244140625,0.02422184419112959
2022-07-31,-0.03,2.53,292.80632953196897,-0.22,116.36000061035156,122.29000091552734,0.006613051583179678
2022-08-31,0.03,2.48,235.83155122180185,-0.226,124.83999633789062,119.70999908447266,0.014408564218951148
2022-09-30,0.0,2.15,248.85490514799463,-0.108,141.88999938964844,121.54000091552734,0.03170791956594898
2022-10-31,0.07,2.52,265.08245600682665,-0.127,147.9199981689453,111.95999908447266,0.0008395499847002137
2022-11-30,0.07,2.34,311.3488667193289,-0.182,127.2699966430664,118.47000122070312,-0.03268913984363773
2022-12-31,0.03,2.3,239.85428870142027,-0.224,121.61000061035156,113.56999969482422,-0.017081116892932242
2023-01-31,-0.07,2.24,217.19917934501004,-0.309,99.54000091552734,123.29000091552734,-0.02034463682827478
2023-02-28,0.0,2.43,242.14083289899528,-0.272,123.5999984741211,120.01000213623047,0.019590804916857812
2023-03-31,0.0,2.32,313.6530364287744,-0.155,135.92999267578125,125.8499984741211,-0.016402085572722838
2023-04-30,0.0,2.18,255.3793500633219,-0.193,122.45999908447266,138.44000244140625,-0.001135025374907279
2023-05-31,0.03,2.18,211.34613104174463,-0.215,136.02000427246094,158.3000030517578,0.014500381049047302
2023-06-30,0.07,2.22,221.45846707536063,-0.23,110.63999938964844,149.9600067138672,-0.013362004478936302
2023-07-31,0.1,2.37,191.73126185560224,-0.282,112.02999877929688,145.47000122070312,-0.012956328918695567
2023-08-31,0.13,2.24,175.50515471617388,-0.336,107.93000030517578,144.6999969482422,0.020172152829954028
2023-09-30,0.2,2.35,200.6384782055877,-0.315,113.55000305175781,134.5,0.017175013482094013
